Unnamed: 0,Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
0,28395,610.2909999999999,208.178116708527,173.888747041636,1.19719142411602,0.549812187138347,28715,190.141097274511,0.7639225181598058,0.9888559986069999,0.958027126250128,0.9133577547957629,0.007331506135183209,0.0031472891673356897,0.834222388245556,0.9987238890131679,SEKER
1,28734,638.018,200.524795663648,182.73441935102403,1.0973564606810602,0.41178525136724003,29172,191.272750485845,0.7839681327076291,0.9849856026326609,0.8870336365528871,0.953860842260513,0.00697865927694188,0.0035636237121009604,0.909850506397935,0.998430331449707,SEKER
2,29380,624.11,212.82612986020598,175.931142612714,1.20971265632436,0.562727316750412,29690,193.41090409881,0.7781132475237041,0.989558773997979,0.9478494730164109,0.9087742385103309,0.00724391184003426,0.0030477332172131697,0.825870616580033,0.999066137363272,SEKER
3,30008,645.884,210.55799896092498,182.51651569530497,1.1536380593218898,0.498615976402717,30724,195.46706182478098,0.782681272822118,0.9766957427418309,0.903936374317338,0.9283288347599441,0.00701672883767412,0.00321456207939005,0.861794425446755,0.9941988485068199,SEKER
4,30140,620.134,201.847882166738,190.27927878664798,1.06079801990978,0.333679657773177,30417,195.89650297623402,0.77309803519212,0.9908932504849259,0.984877069350909,0.970515523241471,0.00669701002543921,0.0036649719644516795,0.9419003808526659,0.9991660589607769,SEKER
5,30279,634.927,212.560556425386,181.510181599753,1.17106684898868,0.520400660291264,30600,196.347702240276,0.7756884846932242,0.9895098039215692,0.9438517832505929,0.923725951522894,0.007020065273799871,0.0031527787389953,0.8532696335168771,0.999235781060337,SEKER
6,30477,670.033,211.05015532183998,184.039050112943,1.1467683363521002,0.489477894457261,30970,196.988633187028,0.7624015009380859,0.9840813690668391,0.853079868774835,0.9333735523038641,0.0069248992788607895,0.0032420162453765103,0.871186188140334,0.999048735626615,SEKER
7,30519,629.727,212.99675505634602,182.73720376406501,1.1655905347624198,0.513759557963588,30847,197.12432033052798,0.770681818181818,0.989366875222874,0.9671092439901501,0.9254803918415591,0.0069791524970132,0.00315828514636252,0.8565139556832059,0.998344559636264,SEKER
8,30685,635.681,213.534145164516,183.157146295974,1.16585210832808,0.5140808603472911,31044,197.659696018684,0.7715614785013829,0.988435768586522,0.9542398075022371,0.9256584976908392,0.00695890973324153,0.00315154951881169,0.8568436543472611,0.9989529809282951,SEKER
9,30834,631.934,217.22781276440898,180.897468573821,1.20083390042444,0.5536422246843211,31120,198.13901211615,0.7836828059473879,0.990809768637532,0.970278230120595,0.9121254299560558,0.0070450740340017295,0.0030080398121198103,0.83197279997252,0.999061142438045,SEKER
